| Language  | WER      | CER      |   PER    |
| --------- | -------- | -------- | -------- |
| Assamese  | 0.3145   | 0.0968   | 0.3145   |
| Bengali   | 0.6636   | 0.4756   | 0.6636   |
| Dogri     | 0.4110   | 0.1577   | 0.4110   |
| Gujarati  | 0.2625   | 0.0732   | 0.2625   |
| Hindi     | 0.1839   | 0.0658   | 0.1839   |
| Kannada   | 0.2456   | 0.0676   | 0.2456   |
| Maithili  | 0.4599   | 0.1295   | 0.4599   |
| Malayalam | 0.4267   | 0.1151   | 0.4267   |
| Manipuri  | 1.0059   | 0.8825   | 1.0059   |
| Nepali    | 0.3045   | 0.0776   | 0.3045   |
| Punjabi   | 0.2834   | 0.1027   | 0.2834   |
| Sanskrit  | 0.2623   | 0.0639   | 0.2623   |
| Tamil     | 0.3127   | 0.0712   | 0.3127   |
| Telugu    | 0.2762   | 0.0601   | 0.2762   |
